coin,size,entry_price,position_value,unrealized_pnl,leverage,margin_used,timestamp,human_time
ETH,783.3994,4212.2,3269282.37608,-30554.13296,25.0,130771.295043,1755616038622,2025-08-19 15:07:18
ETH,677.9893,4212.2,2864504.7925,8676.916101,25.0,114580.1917,1755617388182,2025-08-19 15:29:48
ETH,0.0001,4212.2,0.42258,0.00136,25.0,0.016903,1755617451173,2025-08-19 15:30:51
ETH,24.0727,4154.1,99949.8504,-50.55848,25.0,3997.994016,1755622097548,2025-08-19 16:48:17
ETH,120.7729,4140.0,499854.87852,-145.43426,25.0,19994.19514,1755622763948,2025-08-19 16:59:23
ETH,0.0001,4140.0,0.41633,0.00233,25.0,0.016653,1755624282771,2025-08-19 17:24:42
ETH,48.4437,4128.49,199747.90821,-251.76339,25.0,7989.916328,1755629482002,2025-08-19 18:51:22
ETH,0.0001,4128.49,0.41402,0.001171,25.0,0.01656,1755629624914,2025-08-19 18:53:44
ETH,-24.2493,4128.7,100103.53533,14.54958,25.0,4004.141413,1755630155729,2025-08-19 19:02:35
ETH,-0.0001,4128.7,0.41305,-0.00018,25.0,0.016522,1755630195639,2025-08-19 19:03:15
ETH,24.2534,4123.1,100008.8949,9.70136,25.0,4000.355796,1755630261162,2025-08-19 19:04:21
ETH,72.8678,4117.02,300368.35838,369.52324,25.0,12014.734335,1755630281675,2025-08-19 19:04:41
ETH,0.0001,4117.02,0.41284,0.001138,25.0,0.016513,1755631121160,2025-08-19 19:18:41
ETH,48.8043,4098.0,199668.15216,-331.871142,25.0,7986.726086,1755646745938,2025-08-19 23:39:05
ETH,97.7998,4089.98,399375.26328,-624.391022,25.0,15975.010531,1755646815413,2025-08-19 23:40:15
ETH,171.4194,4083.54,697745.52576,-2253.998542,25.0,27909.82103,1755647597378,2025-08-19 23:53:17
ETH,196.0015,4081.59,798314.1095,-1685.397602,25.0,31932.56438,1755647707086,2025-08-19 23:55:07
ETH,0.3247,4081.59,1333.41302,8.117857,25.0,53.33652,1755650467137,2025-08-20 00:41:07
ETH,24.2195,4182.82,101382.827,76.909677,25.0,4055.31308,1755689595208,2025-08-20 11:33:15
ETH,48.1429,4181.42,201242.13629,-63.593033,25.0,8049.685451,1755690017282,2025-08-20 11:40:17
ETH,72.0949,4179.28,300988.99801,-316.331313,25.0,12039.55992,1755690080986,2025-08-20 11:41:20
ETH,120.1602,4171.97,499397.80722,-1907.235403,25.0,19975.912288,1755690252774,2025-08-20 11:44:12
ETH,168.3297,4166.25,698921.74737,-2383.059253,25.0,27956.869894,1755690368541,2025-08-20 11:46:08
ETH,0.2256,4166.25,943.75248,3.844882,25.0,37.750099,1755690792678,2025-08-20 11:53:12
ETH,24.1725,4175.81,101048.30175,108.534442,25.0,4041.93207,1755692661029,2025-08-20 12:24:21
ETH,0.0001,4175.81,0.41887,0.001289,25.0,0.016754,1755692844121,2025-08-20 12:27:24
ETH,4.8326,4173.0,20169.82262,3.382539,25.0,806.792904,1755695658528,2025-08-20 13:14:18
ETH,47.9732,4168.99,199827.56728,-172.519801,25.0,7993.102691,1755695723006,2025-08-20 13:15:23
ETH,0.0001,4168.99,0.41946,0.002561,25.0,0.016778,1755697026644,2025-08-20 13:37:06
ETH,23.8607,4190.99,100133.81362,133.622121,25.0,4005.352544,1755697219688,2025-08-20 13:40:19
ETH,23.9366,4177.7,99901.79376,-98.14006,25.0,3996.07175,1755697518871,2025-08-20 13:45:18
ETH,47.9462,4170.24,199484.95972,-462.61057,25.0,7979.398388,1755697568325,2025-08-20 13:46:08
ETH,72.002,4165.82,299254.7124,-692.81849,25.0,11970.188496,1755697629510,2025-08-20 13:47:09
ETH,120.2296,4158.27,498700.35784,-1247.03025,25.0,19948.014313,1755697836235,2025-08-20 13:50:36
ETH,216.918,4148.78,896196.717,-3750.20829,25.0,35847.86868,1755697929302,2025-08-20 13:52:09
ETH,265.391,4144.62,1094207.093,-5739.43029,25.0,43768.28372,1755698770476,2025-08-20 14:06:10
ETH,313.9464,4140.66,1292391.75024,-7554.41845,25.0,51695.670009,1755698947845,2025-08-20 14:09:07
ETH,338.2477,4138.81,1393039.32768,-6906.69051,25.0,55721.573107,1755699012956,2025-08-20 14:10:12
ETH,386.8799,4135.51,1590656.70885,-9289.15784,25.0,63626.268354,1755699077945,2025-08-20 14:11:17
ETH,435.5417,4132.66,1791513.67461,-8432.19008,25.0,71660.546984,1755699138207,2025-08-20 14:12:18
ETH,557.3146,4126.81,2289727.0341,-10208.49539,25.0,91589.081364,1755699429198,2025-08-20 14:17:09
ETH,0.0001,4126.81,0.41461,0.001929,25.0,0.016584,1755699793156,2025-08-20 14:23:13
ETH,-23.2605,4299.38,99896.86935,109.0688,25.0,3995.874774,1755703396126,2025-08-20 15:23:16
ETH,-31.1844,4301.83,134245.72356,-95.70031,25.0,5369.828942,1755703511875,2025-08-20 15:25:11
ETH,-0.0001,4301.83,0.42924,0.000943,25.0,0.017169,1755703876047,2025-08-20 15:31:16
ETH,-23.1482,4319.99,99903.00156,97.220623,25.0,3996.120062,1755706693097,2025-08-20 16:18:13
ETH,-0.0001,4319.99,0.43096,0.001039,25.0,0.017238,1755707121643,2025-08-20 16:25:21
ETH,115.9016,4314.0,500405.158,405.6556,25.0,20016.20632,1755707298640,2025-08-20 16:28:18
ETH,0.2012,4314.0,869.84796,1.87116,25.0,34.793918,1755711732681,2025-08-20 17:42:12
ETH,-45.7283,4357.81,199169.61065,105.75915,25.0,7966.784426,1755711967809,2025-08-20 17:46:07
ETH,-0.0001,4357.81,0.43382,0.001961,25.0,0.017352,1755712156274,2025-08-20 17:49:16
ETH,46.4143,4309.0,199985.29441,-13.92429,25.0,7999.411776,1755713051918,2025-08-20 18:04:11
ETH,92.8827,4306.49,399061.23228,-937.98002,25.0,15962.449291,1755713178559,2025-08-20 18:06:18
ETH,139.4593,4302.32,598615.09932,-1384.03338,25.0,23944.603972,1755713235573,2025-08-20 18:07:15
ETH,186.0467,4299.98,798940.34381,-1058.49709,25.0,31957.613752,1755713658826,2025-08-20 18:14:18
ETH,232.6341,4295.96,995162.15298,-4226.10118,25.0,39806.486119,1755713774541,2025-08-20 18:16:14
ETH,279.4177,4292.43,1195628.3383,-3753.5089,25.0,47825.133532,1755714249170,2025-08-20 18:24:09
ETH,373.1823,4285.79,1590950.78136,-8430.82744,25.0,63638.031254,1755714794104,2025-08-20 18:33:14
ETH,1.9824,4285.79,8559.80496,63.651469,25.0,342.392198,1755717119009,2025-08-20 19:11:59
ETH,23.1374,4321.2,99979.01914,-2.31374,25.0,3999.160765,1755735095115,2025-08-21 00:11:35
ETH,46.3387,4315.64,199738.33248,-242.92353,25.0,7989.533299,1755735809603,2025-08-21 00:23:29
ETH,0.0001,4315.64,0.43316,0.001596,25.0,0.017326,1755736645023,2025-08-21 00:37:25
ETH,23.4467,4265.0,100037.69022,37.509656,25.0,4001.507608,1755767119016,2025-08-21 09:05:19
ETH,46.9153,4262.99,199920.16789,-79.717274,25.0,7996.806715,1755767841787,2025-08-21 09:17:21
ETH,70.4005,4261.33,300124.37155,124.504786,25.0,12004.974862,1755767960328,2025-08-21 09:19:20
ETH,23.3535,4281.9,100006.69305,9.3414,25.0,4000.267722,1755777965804,2025-08-21 12:06:05
ETH,41.1479,4281.07,176092.43805,-64.9456,25.0,7043.697522,1755778029377,2025-08-21 12:07:09
ETH,41.2389,4281.07,176630.33259,83.46894,25.0,7065.213303,1755778087975,2025-08-21 12:08:07
ETH,93.5015,4277.97,399775.0134,-221.86025,25.0,15991.000536,1755778142667,2025-08-21 12:09:02
ETH,140.3179,4275.98,599606.45028,-390.08417,25.0,23984.258011,1755778328316,2025-08-21 12:12:08
ETH,162.4515,4275.16,693602.9244,-904.08205,25.0,27744.116976,1755778394103,2025-08-21 12:13:14
ETH,187.1563,4274.48,799138.68537,-857.81708,25.0,31965.547414,1755778450389,2025-08-21 12:14:10
ETH,375.0269,4266.08,1595326.92991,-4571.44631,25.0,63813.077196,1755778743509,2025-08-21 12:19:03
ETH,422.0414,4264.74,1795237.50318,-4660.54494,25.0,71809.500127,1755780604124,2025-08-21 12:50:04
ETH,516.2698,4261.13,2190068.11858,-9829.48754,25.0,87602.724743,1755780667781,2025-08-21 12:51:07
ETH,563.4284,4259.45,2389612.53008,-10284.69864,25.0,95584.501203,1755780720312,2025-08-21 12:52:00
ETH,586.9783,4258.92,2493307.72491,-6589.44418,25.0,99732.308996,1755781026646,2025-08-21 12:57:06
ETH,0.0001,4258.92,0.42892,0.003028,25.0,0.017156,1755783487432,2025-08-21 13:38:07
ETH,23.6743,4224.0,99969.46661,-30.780082,25.0,3998.778664,1755805579543,2025-08-21 19:46:19
ETH,118.6072,4215.59,501174.7236,1175.305808,25.0,20046.988944,1755809078570,2025-08-21 20:44:38
ETH,94.933,4215.59,403446.2634,3247.584659,25.0,16137.850536,1755809595868,2025-08-21 20:53:15
ETH,17.9505,4215.59,76122.68535,450.723201,25.0,3044.907414,1755810918554,2025-08-21 21:15:18
ETH,1.1532,4802.0,5537.78172,0.11532,25.0,221.511268,1755902348756,2025-08-22 22:39:08
ETH,20.8855,4788.0,100008.1282,8.3542,25.0,4000.325128,1755912314857,2025-08-23 01:25:14
ETH,41.8147,4782.99,199740.45896,-259.03264,25.0,7989.618358,1755912549979,2025-08-23 01:29:09
ETH,62.7878,4777.98,299347.11528,-652.11712,25.0,11973.884611,1755912857122,2025-08-23 01:34:17
ETH,104.7869,4771.57,498963.78173,-1035.16487,25.0,19958.551269,1755913450610,2025-08-23 01:44:10
ETH,125.7953,4769.64,599175.59343,-823.33717,25.0,23967.023737,1755913513475,2025-08-23 01:45:13
ETH,0.0001,4769.64,0.47825,0.001286,25.0,0.01913,1755913992789,2025-08-23 01:53:12
ETH,21.0815,4743.5,99979.01375,-21.084114,25.0,3999.16055,1755933619387,2025-08-23 07:20:19
ETH,63.3201,4737.82,299751.02139,-248.811874,25.0,11990.040855,1755933741514,2025-08-23 07:22:21
ETH,105.5944,4735.09,499493.19032,-506.356244,25.0,19979.727612,1755933855771,2025-08-23 07:24:15
ETH,147.8955,4733.06,699220.3449,-778.802464,25.0,27968.813796,1755934091078,2025-08-23 07:28:11
